account_type,symbol,name,sector,qty,purchase_price
Traditional,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap Blend,900.00,450.00
Traditional,VEXAX,Vanguard Extended Market Index Admiral,MF:Mid-Cap Blend,1250.00,120.00
Traditional,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap Blend,1250.00,95.00
Roth,JNJ,Johnson & Johnson,Healthcare,150.00,165.00
Roth,PG,Procter & Gamble,Consumer Defensive,200.00,155.00
Roth,KO,Coca-Cola,Consumer Defensive,400.00,62.50
Roth,T,AT&T,Communication Services,800.00,20.00
Roth,VZ,Verizon,Communication Services,350.00,42.00
Brokerage,TSLA,Tesla,Automotive,100.00,250.00
Brokerage,NVDA,NVIDIA,Technology,80.00,500.00
Brokerage,META,Meta Platforms,Technology,60.00,450.00
Brokerage,GOOGL,Alphabet Class A,Technology,75.00,140.00
Brokerage,NFLX,Netflix,Communication Services,50.00,600.00
